date,eng,it
2001/01,67,0
2001/02,229,0
2001/03,757,0
2001/04,1368,0
2001/05,2666,0
2001/06,3153,0
2001/07,4137,0
2001/08,6014,1
2001/09,9234,2
2001/10,14349,0
2001/11,17857,0
2001/12,20271,0
2002/01,22101,0
2002/02,29897,4
2002/03,33042,8
2002/04,35444,12
2002/05,37478,18
2002/06,40833,50
2002/07,44306,58
2002/08,50228,69
2002/09,61480,74
2002/10,101345,76
2002/11,107766,204
2002/12,113512,505
2003/01,121529,827
2003/02,128256,1089
2003/03,135344,1342
2003/04,142483,1625
2003/05,151250,1856
2003/06,159793,2014
2003/07,174544,2426
2003/08,185041,2751
2003/09,196060,2986
2003/10,205748,3239
2003/11,218077,3540
2003/12,232664,4374
2004/01,247744,5204
2004/02,269342,7122
2004/03,299542,8184
2004/04,325586,9218
2004/05,352056,10813
2004/06,382907,12485
2004/07,414970,21819
2004/08,451280,23618
2004/09,487889,26537
2004/10,528820,29819
2004/11,577300,32833
2004/12,625867,35555
2005/01,666400,38079
2005/02,705057,40866
2005/03,755662,44233
2005/04,815241,48701
2005/05,874146,54881
2005/06,939607,60335
2005/07,1021804,67285
2005/08,1112909,83664
2005/09,1193683,129726
2005/10,1293551,140570
2005/11,1386511,151759
2005/12,1512995,167107
2006/01,1660182,183566
2006/02,1802659,198200
2006/03,1959253,225270
2006/04,2125259,258524
2006/05,2299669,294428
2006/06,2479001,312294
2006/07,2669607,332824
2006/08,2985870,356123
2006/09,3191393,378704
2006/10,3417734,401139
2006/11,3643732,426119
2006/12,3864809,449637
2007/01,4126258,478615
2007/02,4393003,519095
2007/03,4709024,561504
2007/04,5021408,590433
2007/05,5279150,622262
2007/06,5521501,649845
2007/07,5783135,677323
2007/08,6031528,706981
2007/09,6275036,734659
2007/10,6533004,764468
2007/11,6773667,792840
2007/12,7025881,819333
2008/01,7347477,854287
2008/02,7650628,887381
2008/03,7972939,922910
2008/04,8267328,954584
2008/05,8567558,987039
2008/06,8865251,1014575
2008/07,9137699,1039683
2008/08,9417101,1064347
2008/09,9677439,1098382
2008/10,9946952,1129830
2008/11,10266217,1157903
2008/12,10526511,1189834
2009/01,10802797,1222705
2009/02,11051404,1252263
2009/03,11351926,1281842
2009/04,11596190,1311483
2009/05,11845247,1340673
2009/06,12072568,1365363
2009/07,12287166,1387890
2009/08,12507097,1412131
2009/09,12717630,1438520
2009/10,12955858,1468259
2009/11,13166762,1497835
2009/12,13396014,1527858
2010/01,13635102,1558603
2010/02,13856578,1585931
2010/03,14111787,1617823
2010/04,14349447,1646954
2010/05,14587937,1677536
2010/06,14784262,1705025
2010/07,14977378,1729435
2010/08,15215245,1756788
2010/09,15453952,1785569
2010/10,15749297,1814646
2010/11,15995556,1842838
2010/12,16253206,1870235
2011/01,16558165,1901852
2011/02,16764049,1932877
2011/03,16959001,1961309
2011/04,17127233,1988539
2011/05,17310800,2017002
2011/06,17504669,2043852
2011/07,17704356,2070528
2011/08,17920102,2099651
2011/09,18129429,2126910
2011/10,18337752,2154176
2011/11,18541639,2186875
2011/12,18729909,2217153
2012/01,18934498,2251339
2012/02,19140014,2280893
2012/03,19382128,2309387
2012/04,19649451,2336977
2012/05,19861860,2367069
2012/06,20044602,2393564
2012/07,20242792,2421574
2012/08,20417249,2445149
2012/09,20598657,2470811
2012/10,20808773,2496540
2012/11,20997658,2527308
2012/12,21180886,2554918
2013/01,21370637,2586294
2013/02,21547010,2610573
2013/03,21739667,2638293
2013/04,21920518,2663480
2013/05,22097774,2689435
2013/06,22281068,2714720
2013/07,22484442,2748571
2013/08,22673960,2770886
2013/09,22840875,2789456
2013/10,23018193,2808505
2013/11,23199795,2834359
2013/12,23380714,2859547
2014/01,23569689,2887839
2014/02,23746097,2916470
2014/03,23935132,2942230
2014/04,24106566,2969018
2014/05,24285715,2995362
2014/06,24446228,3017599
2014/07,24608915,3045046
2014/08,24781516,3076459
2014/09,24942583,3102971
2014/10,25127840,3130419
2014/11,25327401,3163345
2014/12,25568821,3190417
2015/01,25831929,3221909
2015/02,26010805,3248203
2015/03,26656146,3283830
2015/04,26839860,3313872
2015/05,27027968,3343390
2015/06,27194554,3368036
2015/07,27363504,3396043
2015/08,27545772,3422080
2015/09,27739442,3448951
2015/10,28061918,3477304
2015/11,28242099,3507374
2015/12,28419675,3536020
2016/01,28630031,3568349
2016/02,28842764,3597699
2016/03,29034090,3627740
2016/04,29228271,3655880
2016/05,29415927,3685058
2016/06,29575422,3709272
2016/07,29738583,3744369
2016/08,29912177,3770669
2016/09,30138915,3797569
2016/10,30366798,3823834
2016/11,30562106,3851102
2016/12,30766255,3878108
2017/01,30979674,3911699
2017/02,31181046,3942931
2017/03,31391570,3976071
2017/04,31569941,4004463
2017/05,31741753,4037363
2017/06,31895596,4063825
2017/07,32074866,4089462
2017/08,32349940,4112812
2017/09,32534930,4152809
2017/10,32712137,4201021
2017/11,32886348,4243967
2017/12,33047439,4277137
2018/01,33243686,4317002
2018/02,33419030,4355878
2018/03,33611557,4400851
2018/04,33809463,4439688
2018/05,33998547,4866704
2018/06,34160789,4894150
2018/07,34319396,4923856
2018/08,34547546,4952682
2018/09,34734733,4985064
2018/10,34937100,5017622
2018/11,35125016,5057738
2018/12,35293186,5087513
2019/01,35490947,5122092
2019/02,35679989,5151619
2019/03,35873253,5181595
2019/04,36042930,5218115
2019/05,36240287,5259583
2019/06,36405230,5295859
2019/07,36554016,5329442
2019/08,36708830,5360229
2019/09,36906987,5391045
2019/10,37110133,5424665
2019/11,37291390,5458094
2019/12,37451532,5488476
2020/01,37641035,5521325
2020/02,37815831,5551792
2020/03,38012851,5582065
2020/04,38206120,5618282
2020/05,38420832,5654014
2020/06,38618924,5693080
2020/07,38793114,5718454
2020/08,39121573,5743736
2020/09,39322286,5767932
2020/10,39506097,5792237
2020/11,39676993,5820931
2020/12,39854171,5847085
2021/01,40070181,5883987
2021/02,40336624,5916886
2021/03,40565156,5955261
2021/04,40740342,5988850
2021/05,40918359,6023496
2021/06,41101072,6051543
2021/07,41291818,6078162
2021/08,41455284,6102412
2021/09,41618885,6125452
2021/10,41839322,6151296
2021/11,41991082,6177459
2021/12,42134109,6202688
2022/01,42299025,6234931
2022/02,42453186,6262820
2022/03,42612271,6291731
2022/04,42751723,6316855
2022/05,42889921,6344043
2022/06,43079430,6366315
2022/07,43224880,6389563
2022/08,43357904,6411856
2022/09,43506321,6433195
2022/10,43677572,6460078
2022/11,43827182,6486494
2022/12,43985939,6511684
2023/01,44170817,6538065
2023/02,44351370,6561829
2023/03,44527873,6589670
2023/04,44688268,6612283
2023/05,44842963,6635946
2023/06,45008925,6657411
2023/07,45222995,6679045
2023/08,45365106,6701172
2023/09,45514725,6723835
2023/10,45674350,6748277
2023/11,45852245,6771836
2023/12,46015457,6792566
2024/01,46215578,6816165
2024/02,46390984,6839392
2024/03,46584802,6864695
2024/04,46792699,6888477
